cpg	chr	start	stop
cpg.68	chr1	1226579	1226901
cpg.69	chr1	1231621	1233605
cpg.70	chr1	1242505	1242827
cpg.71	chr1	1246376	1247090
cpg.72	chr1	1254016	1254865
cpg.73	chr1	1255142	1255419
cpg.74	chr1	1258981	1259378
cpg.75	chr1	1267786	1268084
cpg.76	chr1	1273135	1274437
cpg.77	chr1	1286017	1294783
cpg.78	chr1	1296481	1298279
cpg.79	chr1	1307020	1309805
cpg.80	chr1	1312606	1313113
cpg.81	chr1	1318942	1319168
cpg.82	chr1	1324263	1325255
cpg.83	chr1	1327285	1328040
cpg.84	chr1	1331705	1331906
cpg.85	chr1	1332055	1333606
cpg.86	chr1	1336045	1336694
cpg.87	chr1	1336997	1337254
cpg.88	chr1	1338106	1340460
cpg.89	chr1	1341237	1341468
cpg.90	chr1	1348553	1351571
cpg.91	chr1	1354327	1355746
cpg.92	chr1	1373760	1375659
cpg.93	chr1	1387264	1387544
cpg.94	chr1	1398691	1400222
cpg.95	chr1	1406728	1407555
cpg.96	chr1	1419779	1420620
cpg.97	chr1	1426180	1426407
cpg.98	chr1	1427516	1427953
cpg.99	chr1	1430792	1431014
cpg.100	chr1	1435560	1436069
cpg.101	chr1	1439081	1440204
cpg.102	chr1	1454175	1454509
cpg.103	chr1	1460705	1460958
cpg.104	chr1	1471464	1472441
cpg.105	chr1	1478654	1479152
cpg.106	chr1	1481905	1482373
cpg.107	chr1	1484846	1485304
cpg.108	chr1	1509208	1509469
cpg.109	chr1	1511498	1512825
cpg.110	chr1	1517321	1517819
cpg.111	chr1	1519922	1520512
cpg.112	chr1	1521449	1521694
cpg.113	chr1	1522574	1523649
cpg.114	chr1	1529128	1529426
cpg.115	chr1	1535224	1536210
cpg.116	chr1	1537727	1537962
cpg.117	chr1	1539582	1541289
cpg.118	chr1	1554152	1554414
cpg.119	chr1	1561381	1561606
cpg.120	chr1	1574102	1575367
cpg.121	chr1	1598951	1600756
cpg.122	chr1	1615073	1616635
cpg.123	chr1	1623207	1623979
cpg.124	chr1	1625400	1625675
cpg.125	chr1	1626669	1634630
cpg.126	chr1	1635670	1636108
cpg.127	chr1	1639975	1640670
cpg.128	chr1	1645016	1645234
cpg.129	chr1	1658612	1659481
cpg.130	chr1	1669542	1669792
cpg.131	chr1	1676459	1676804
cpg.132	chr1	1692087	1693628
cpg.133	chr1	1699647	1701787
cpg.134	chr1	1702813	1703251
cpg.135	chr1	1712154	1712372
cpg.136	chr1	1723956	1724792
cpg.137	chr1	1739317	1739662
cpg.138	chr1	1745362	1746894
cpg.139	chr1	1753934	1754532
cpg.140	chr1	1760328	1760624
cpg.141	chr1	1777955	1779143
cpg.142	chr1	1782200	1782702
cpg.143	chr1	1889966	1891833
cpg.144	chr1	1908519	1909162
cpg.145	chr1	1918659	1919952
cpg.146	chr1	1927807	1928084
cpg.147	chr1	1943276	1943576
cpg.148	chr1	1944178	1944438
cpg.149	chr1	1954905	1955431
cpg.150	chr1	1964975	1965189
cpg.151	chr1	1966142	1966347
cpg.152	chr1	1978829	1982361
cpg.153	chr1	2018972	2020040
cpg.154	chr1	2025607	2025947
cpg.155	chr1	2027975	2028428
cpg.156	chr1	2029503	2029709
cpg.157	chr1	2029968	2030411
cpg.158	chr1	2043247	2043503
cpg.159	chr1	2044684	2045207
cpg.160	chr1	2049812	2051773
cpg.161	chr1	2059340	2059732
cpg.162	chr1	2073740	2074126
cpg.163	chr1	2093766	2094786
cpg.164	chr1	2107116	2107424
cpg.165	chr1	2109558	2109863
cpg.166	chr1	2114990	2115426
cpg.167	chr1	2121722	2124405
cpg.168	chr1	2132343	2132613
cpg.169	chr1	2133189	2133740
cpg.170	chr1	2134928	2135227
cpg.171	chr1	2150875	2151090
cpg.172	chr1	2169414	2169746
cpg.173	chr1	2172837	2173047
cpg.174	chr1	2184993	2185362
cpg.175	chr1	2189578	2190379
cpg.176	chr1	2194449	2195203
cpg.177	chr1	2204478	2205912
cpg.178	chr1	2212760	2213058
cpg.179	chr1	2226773	2229734
cpg.180	chr1	2280581	2282442
cpg.181	chr1	2290759	2291130
cpg.182	chr1	2300871	2301178
cpg.183	chr1	2303869	2304228
cpg.184	chr1	2305003	2307630
cpg.185	chr1	2314275	2315647
cpg.186	chr1	2317876	2318195
cpg.187	chr1	2322284	2323319
cpg.188	chr1	2326658	2326984
cpg.189	chr1	2327625	2327887
cpg.190	chr1	2331745	2332031
cpg.191	chr1	2334568	2334993
cpg.192	chr1	2344919	2345218
cpg.193	chr1	2372720	2372937
cpg.194	chr1	2384914	2385310
cpg.195	chr1	2391042	2392325
cpg.196	chr1	2402111	2402733
cpg.197	chr1	2408437	2408807
cpg.198	chr1	2411946	2413278
cpg.199	chr1	2414452	2414717
cpg.200	chr1	2428487	2428728
cpg.201	chr1	2433987	2434240
cpg.202	chr1	2440407	2440634
cpg.203	chr1	2443379	2444375
cpg.204	chr1	2456230	2456647
cpg.205	chr1	2467386	2467616
cpg.206	chr1	2478353	2478610
cpg.207	chr1	2479686	2479965
cpg.208	chr1	2483759	2484067
cpg.209	chr1	2502147	2502626
cpg.210	chr1	2503602	2503818
cpg.211	chr1	2504115	2504389
cpg.212	chr1	2508358	2508583
cpg.213	chr1	2508687	2509039
cpg.214	chr1	2513916	2514209
cpg.215	chr1	2518483	2518767
cpg.216	chr1	2519778	2520112
cpg.217	chr1	2521356	2521568
cpg.218	chr1	2525802	2526820
cpg.219	chr1	2529321	2530571
cpg.220	chr1	2535495	2535773
cpg.221	chr1	2540656	2541147
cpg.222	chr1	2546432	2546924
cpg.223	chr1	2585958	2587453
cpg.224	chr1	2595800	2596064
cpg.225	chr1	2606232	2606447
cpg.226	chr1	2628453	2629253
cpg.227	chr1	2642591	2643425
cpg.228	chr1	2789460	2790396
cpg.229	chr1	2800176	2800668
cpg.230	chr1	2855561	2856100
cpg.231	chr1	2860592	2860796
cpg.232	chr1	2911220	2911729
cpg.233	chr1	2930491	2930723
cpg.234	chr1	2934100	2934308
cpg.235	chr1	2959980	2960243
cpg.236	chr1	2968497	2968719
cpg.237	chr1	2970024	2970358
cpg.238	chr1	3001801	3002189
cpg.239	chr1	3012591	3012812
cpg.240	chr1	3022069	3022479
cpg.241	chr1	3062711	3064194
cpg.242	chr1	3067361	3071398
cpg.243	chr1	3073466	3074154
cpg.244	chr1	3080708	3080909
cpg.245	chr1	3083163	3083414
cpg.246	chr1	3111615	3111993
cpg.247	chr1	3121503	3121779
cpg.248	chr1	3139977	3140208
cpg.249	chr1	3142486	3142704
cpg.250	chr1	3155335	3155675
cpg.251	chr1	3164370	3164728
cpg.252	chr1	3185976	3186788
cpg.253	chr1	3188392	3188689
cpg.254	chr1	3194583	3195345
cpg.255	chr1	3231281	3231517
cpg.256	chr1	3238596	3238797
cpg.257	chr1	3240945	3241736
cpg.258	chr1	3247405	3248079
cpg.259	chr1	3266257	3266652
cpg.260	chr1	3267982	3268260
cpg.261	chr1	3278812	3279488
cpg.262	chr1	3287201	3287889
cpg.263	chr1	3323351	3323697
cpg.264	chr1	3358465	3358720
cpg.265	chr1	3390505	3390721
cpg.266	chr1	3393538	3394471
cpg.267	chr1	3404705	3405746
cpg.268	chr1	3408682	3409115
cpg.269	chr1	3411427	3412860
cpg.270	chr1	3414476	3414715
cpg.271	chr1	3415422	3415663
cpg.272	chr1	3425448	3425762
cpg.273	chr1	3425974	3426242
cpg.274	chr1	3434801	3435068
cpg.275	chr1	3454341	3455119
cpg.276	chr1	3478137	3478627
cpg.277	chr1	3500442	3500655
cpg.278	chr1	3509012	3509233
cpg.279	chr1	3509797	3510006
cpg.280	chr1	3510791	3511119
cpg.281	chr1	3519424	3519686
cpg.282	chr1	3530885	3531495
cpg.283	chr1	3543310	3543705
cpg.284	chr1	3583338	3583906
cpg.285	chr1	3595145	3595554
cpg.286	chr1	3611055	3611514
cpg.287	chr1	3624203	3625677
cpg.288	chr1	3640399	3640637
cpg.289	chr1	3643388	3644445
cpg.290	chr1	3645293	3645559
cpg.291	chr1	3649780	3653072
cpg.292	chr1	3690532	3690989
cpg.293	chr1	3706754	3706957
cpg.294	chr1	3718069	3718537
cpg.295	chr1	3732730	3733110
cpg.296	chr1	3746399	3747406
cpg.297	chr1	3771989	3773120
cpg.298	chr1	3786900	3787344
cpg.299	chr1	3795834	3796668
cpg.300	chr1	3814894	3815451
cpg.301	chr1	3856623	3857901
cpg.302	chr1	3858513	3858805
cpg.303	chr1	3874300	3875047
cpg.304	chr1	3891926	3892672
cpg.305	chr1	3899792	3901520
cpg.306	chr1	3907655	3907892
cpg.307	chr1	4132573	4133183
cpg.308	chr1	4161327	4161612
cpg.309	chr1	4653929	4656495
cpg.310	chr1	4666516	4666807
cpg.311	chr1	4711592	4712485
cpg.312	chr1	4772291	4772493
cpg.313	chr1	5711996	5712453
cpg.314	chr1	5733497	5733724
cpg.315	chr1	5877097	5877332
cpg.316	chr1	5890764	5890969
cpg.317	chr1	5991535	5993346
cpg.318	chr1	6026184	6026434
cpg.319	chr1	6051549	6051776
cpg.320	chr1	6071575	6071925
cpg.321	chr1	6127683	6128175
cpg.322	chr1	6128813	6129060
cpg.323	chr1	6142058	6142299
cpg.324	chr1	6148656	6148979
cpg.325	chr1	6179177	6180754
cpg.326	chr1	6180971	6181191
cpg.327	chr1	6199118	6199823
cpg.328	chr1	6205765	6206718
cpg.329	chr1	6208760	6209528
cpg.330	chr1	6235468	6236201
cpg.331	chr1	6241815	6242796
cpg.332	chr1	6245088	6246403
cpg.333	chr1	6249103	6250032
cpg.334	chr1	6253701	6254079
cpg.335	chr1	6260077	6260991
cpg.336	chr1	6279888	6280208
cpg.337	chr1	6281076	6281352
cpg.338	chr1	6392959	6394125
cpg.339	chr1	6418997	6420878
cpg.340	chr1	6424443	6425267
cpg.341	chr1	6440108	6441070
cpg.342	chr1	6447147	6449126
cpg.343	chr1	6451629	6452050
cpg.344	chr1	6454048	6455985
cpg.345	chr1	6456064	6456265
cpg.346	chr1	6460524	6461895
cpg.347	chr1	6466114	6466361
cpg.348	chr1	6470612	6470818
cpg.349	chr1	6471411	6471676
cpg.350	chr1	6485083	6485858
cpg.351	chr1	6490023	6491055
cpg.352	chr1	6497090	6497812
cpg.353	chr1	6554076	6554775
cpg.354	chr1	6579367	6580301
cpg.355	chr1	6593337	6593614
cpg.356	chr1	6599065	6599445
cpg.357	chr1	6601716	6603784
cpg.358	chr1	6612726	6615681
cpg.359	chr1	6625011	6625780
cpg.360	chr1	6701235	6702071
cpg.361	chr1	6784253	6786306
cpg.362	chr1	6961941	6962248
cpg.363	chr1	7062459	7062667
cpg.364	chr1	7663340	7665115
cpg.365	chr1	7680083	7681057
cpg.366	chr1	7704113	7705796
cpg.367	chr1	7770991	7771786
cpg.368	chr1	7783400	7785044
cpg.369	chr1	7827138	7827416
cpg.370	chr1	7942348	7942639
cpg.371	chr1	7953933	7954591
cpg.372	chr1	7961241	7962166
cpg.373	chr1	8025494	8026794
cpg.374	chr1	8211936	8212142
cpg.375	chr1	8217135	8217762
cpg.376	chr1	8317724	8318275
cpg.377	chr1	8324327	8324659
cpg.378	chr1	8325835	8326108
cpg.379	chr1	8330142	8330740
cpg.380	chr1	8335283	8335575
cpg.381	chr1	8343637	8344042
cpg.382	chr1	8358262	8358490
cpg.383	chr1	8423329	8424279
cpg.384	chr1	8702946	8703521
cpg.385	chr1	8816953	8818004
cpg.386	chr1	8878254	8879287
cpg.387	chr1	9039221	9040454
cpg.388	chr1	9128444	9129417
cpg.389	chr1	9182108	9183768
cpg.390	chr1	9198506	9198897
cpg.391	chr1	9234342	9235393
cpg.392	chr1	9264143	9264380
cpg.393	chr1	9264628	9264957
cpg.394	chr1	9292330	9293834
cpg.395	chr1	9356067	9356345
cpg.396	chr1	9367448	9367675
cpg.397	chr1	9428878	9429190
cpg.398	chr1	9495320	9495593
cpg.399	chr1	9539291	9540385
cpg.400	chr1	9588674	9589459
cpg.401	chr1	9610559	9610810
cpg.402	chr1	9627067	9627309
cpg.403	chr1	9651674	9652943
cpg.404	chr1	9689237	9690170
cpg.405	chr1	9715650	9715939
cpg.406	chr1	9730234	9730646
cpg.407	chr1	9731100	9731428
cpg.408	chr1	9762518	9762759
cpg.409	chr1	9822953	9824609
cpg.410	chr1	9909787	9910631
cpg.411	chr1	9943107	9943527
cpg.412	chr1	9997209	9998050
cpg.413	chr1	10032474	10033346
cpg.414	chr1	10209957	10211248
cpg.415	chr1	10326125	10326332
cpg.416	chr1	10398491	10399940
cpg.417	chr1	10430143	10431015
cpg.418	chr1	10472120	10472743
cpg.419	chr1	10474861	10475115
cpg.420	chr1	10638242	10640041
cpg.421	chr1	10647753	10648083
cpg.422	chr1	10653781	10654146
cpg.423	chr1	10654344	10654651
cpg.424	chr1	10659810	10660524
cpg.425	chr1	10665130	10665560
cpg.426	chr1	10693716	10695464
cpg.427	chr1	10697834	10698195
cpg.428	chr1	10704392	10704868
cpg.429	chr1	10793837	10796907
cpg.430	chr1	10835838	10836060
cpg.431	chr1	10866898	10867422
cpg.432	chr1	10888467	10889109
cpg.433	chr1	11012340	11013188
cpg.434	chr1	11058973	11060577
cpg.435	chr1	11099330	11100079
cpg.436	chr1	11262201	11262979
cpg.437	chr1	11273202	11273490
cpg.438	chr1	11478612	11480554
cpg.439	chr1	11501309	11502099
cpg.440	chr1	11529781	11529987
cpg.441	chr1	11536325	11536565
cpg.442	chr1	11648710	11649220
cpg.443	chr1	11650402	11650731
cpg.444	chr1	11654160	11655249
cpg.445	chr1	11664056	11664828
cpg.446	chr1	11680342	11681660
cpg.447	chr1	11690644	11692594
cpg.448	chr1	11719509	11719959
cpg.449	chr1	11735918	11736206
cpg.450	chr1	11762082	11762306
cpg.451	chr1	11805405	11806509
cpg.452	chr1	11838336	11838675
cpg.453	chr1	11859058	11859498
cpg.454	chr1	11925586	11926078
cpg.455	chr1	11934692	11934912
cpg.456	chr1	11980056	11980736
cpg.457	chr1	12019194	12019846
cpg.458	chr1	12063431	12064091
cpg.459	chr1	12166819	12167655
cpg.460	chr1	12191277	12191928
cpg.461	chr1	12229897	12230528
cpg.462	chr1	12230898	12231142
cpg.463	chr1	12540321	12540530
cpg.464	chr1	12595876	12596235
cpg.465	chr1	12616978	12618636
cpg.466	chr1	13513010	13514118
cpg.467	chr1	13554915	13555117
cpg.468	chr1	13583111	13583347
cpg.469	chr1	13583642	13584373
cpg.470	chr1	13699986	13700705
cpg.471	chr1	13748772	13749963
cpg.472	chr1	13892855	13893242
cpg.473	chr1	14598114	14599497
cpg.474	chr1	14801087	14801373
cpg.475	chr1	14923877	14925049
cpg.476	chr1	15048567	15048917
cpg.477	chr1	15065685	15066023
cpg.478	chr1	15152723	15154975
cpg.479	chr1	15214685	15214951
cpg.480	chr1	15247124	15247457
cpg.481	chr1	15409554	15410732
cpg.482	chr1	15524103	15525086
cpg.483	chr1	15526613	15527168
cpg.484	chr1	15584593	15585113
cpg.485	chr1	15603328	15603794
cpg.486	chr1	15617326	15617861
cpg.487	chr1	15684083	15685007
cpg.488	chr1	15727121	15727480
cpg.489	chr1	15731802	15732010
cpg.490	chr1	15744133	15744358
cpg.491	chr1	15746823	15747026
cpg.492	chr1	15758576	15759367
cpg.493	chr1	15834765	15836385
cpg.494	chr1	15837257	15837628
cpg.495	chr1	15847394	15848901
cpg.496	chr1	15849334	15849622
cpg.497	chr1	15934375	15934660
cpg.498	chr1	15943405	15943764
cpg.499	chr1	15944096	15945087
cpg.500	chr1	15975407	15976177
cpg.501	chr1	16073153	16073496
cpg.502	chr1	16137881	16138126
cpg.503	chr1	16148616	16148829
cpg.504	chr1	16154989	16155965
cpg.505	chr1	16167566	16168010
cpg.506	chr1	16206422	16208085
cpg.507	chr1	16217188	16217812
cpg.508	chr1	16226831	16227165
cpg.509	chr1	16237049	16237304
cpg.510	chr1	16352079	16352697
cpg.511	chr1	16367126	16367775
cpg.512	chr1	16440503	16441308
cpg.513	chr1	16498643	16499882
cpg.514	chr1	16514289	16514533
cpg.515	chr1	16520785	16521397
cpg.516	chr1	16534378	16535801
cpg.517	chr1	16547906	16548318
cpg.518	chr1	16612961	16613959
cpg.519	chr1	16644360	16644997
cpg.520	chr1	16646990	16648550
cpg.521	chr1	16658282	16658558
cpg.522	chr1	16666956	16667195
cpg.523	chr1	16680247	16680656
cpg.524	chr1	16692188	16694464
cpg.525	chr1	16696491	16696789
cpg.526	chr1	16699567	16701447
cpg.527	chr1	16707273	16708233
cpg.528	chr1	16724996	16725396
cpg.529	chr1	16740268	16740507
cpg.530	chr1	16748909	16749185
cpg.531	chr1	16758916	16760479
cpg.532	chr1	16859616	16860028
cpg.533	chr1	16871066	16871354
cpg.534	chr1	16872131	16873554
cpg.535	chr1	16888926	16889599
cpg.536	chr1	16895732	16895971
cpg.537	chr1	16904803	16905185
cpg.538	chr1	16913543	16914475
cpg.539	chr1	16955323	16955561
cpg.540	chr1	16960795	16961189
cpg.541	chr1	16966409	16966620
cpg.542	chr1	16980056	16980868
cpg.543	chr1	17005390	17005598
cpg.544	chr1	17011334	17012087
cpg.545	chr1	17053961	17054227
cpg.546	chr1	17119156	17119593
cpg.547	chr1	17149207	17149580
cpg.548	chr1	17407939	17408149
cpg.549	chr1	17419704	17420051
cpg.550	chr1	17437576	17439981
cpg.551	chr1	17539434	17540048
cpg.552	chr1	17622957	17623175
cpg.553	chr1	17696986	17697297
cpg.554	chr1	17825883	17826347
cpg.555	chr1	18107611	18108319
cpg.556	chr1	18109072	18109410
cpg.557	chr1	18110057	18111179
cpg.558	chr1	18365380	18365587
cpg.559	chr1	18376801	18377002
cpg.560	chr1	18482379	18483173
cpg.561	chr1	18630401	18633335
cpg.562	chr1	18636321	18636987
cpg.563	chr1	18637686	18637907
cpg.564	chr1	18640757	18641625
cpg.565	chr1	18643054	18644245
cpg.566	chr1	18645235	18645603
cpg.567	chr1	18646534	18647239
cpg.568	chr1	18784226	18784438
cpg.569	chr1	18854451	18854975
cpg.570	chr1	18877380	18877740
cpg.571	chr1	18883132	18883420
cpg.572	chr1	18902334	18903140
cpg.573	chr1	18955454	18957389
cpg.574	chr1	19209657	19210552
cpg.575	chr1	19251390	19252214
cpg.576	chr1	19273755	19274448
cpg.577	chr1	19288504	19289166
cpg.578	chr1	19311713	19312815
cpg.579	chr1	19338516	19338782
cpg.580	chr1	19485209	19486150
cpg.581	chr1	19596847	19597508
cpg.582	chr1	19643761	19645429
cpg.583	chr1	19664653	19666295
cpg.584	chr1	19679017	19679372
cpg.585	chr1	19800029	19800287
cpg.586	chr1	19882314	19882969
cpg.587	chr1	20185867	20186304
cpg.588	chr1	20242962	20243324
cpg.589	chr1	20343073	20343525
cpg.590	chr1	20366089	20367041
cpg.591	chr1	20483969	20487018
cpg.592	chr1	20507923	20508390
cpg.593	chr1	20552401	20554002
cpg.594	chr1	20633371	20634058
cpg.595	chr1	20661023	20661745
cpg.596	chr1	20696446	20696696
cpg.597	chr1	20704515	20704876
cpg.598	chr1	20717339	20718278
cpg.599	chr1	20731513	20732873
cpg.600	chr1	20786215	20787628
cpg.601	chr1	21176622	21177343
cpg.602	chr1	21225081	21225438
cpg.603	chr1	21289887	21290608
cpg.604	chr1	21344867	21345826
cpg.605	chr1	21427995	21429502
cpg.606	chr1	21436577	21436923
cpg.607	chr1	21439779	21440731
cpg.608	chr1	21459952	21460220
cpg.609	chr1	21509055	21509851
cpg.610	chr1	21603686	21603887
cpg.611	chr1	21622181	21622770
cpg.612	chr1	21651791	21652220
cpg.613	chr1	21659210	21659609
cpg.614	chr1	21668570	21669450
cpg.615	chr1	21669668	21669916
cpg.616	chr1	21782636	21783768
cpg.617	chr1	21814406	21814914
cpg.618	chr1	21823190	21823404
cpg.619	chr1	21828807	21829072
cpg.620	chr1	21864856	21865099
cpg.621	chr1	21884499	21884825
cpg.622	chr1	21887409	21887626
cpg.623	chr1	21936853	21937784
cpg.624	chr1	22025424	22025701
cpg.625	chr1	22052516	22053536
cpg.626	chr1	22120027	22120450
cpg.627	chr1	22129530	22129732
cpg.628	chr1	22142419	22143759
cpg.629	chr1	22285721	22285925
cpg.630	chr1	22342145	22342381
cpg.631	chr1	22451743	22452324
cpg.632	chr1	22563102	22563603
cpg.633	chr1	22576309	22576920
cpg.634	chr1	22593280	22593714
cpg.635	chr1	22600652	22601049
cpg.636	chr1	22647557	22647810
cpg.637	chr1	22676923	22677338
cpg.638	chr1	22710330	22711869
cpg.639	chr1	22784411	22785074
cpg.640	chr1	22953060	22954076
cpg.641	chr1	23019321	23020184
cpg.642	chr1	23167746	23168947
cpg.643	chr1	23177566	23178140
cpg.644	chr1	23216884	23217744
cpg.645	chr1	23343752	23344870
cpg.646	chr1	23368197	23369557
cpg.647	chr1	23424303	23425170
cpg.648	chr1	23436661	23437478
cpg.649	chr1	23483484	23484862
cpg.650	chr1	23530541	23531597
cpg.651	chr1	23554526	23555264
cpg.652	chr1	23558351	23558596
cpg.653	chr1	23559191	23559721
cpg.654	chr1	23568013	23568574
cpg.655	chr1	23691865	23692077
cpg.656	chr1	23743205	23744125
cpg.657	chr1	23778012	23778773
cpg.658	chr1	23790992	23791302
cpg.659	chr1	23800300	23801059
cpg.660	chr1	23867764	23868500
cpg.661	chr1	23902625	23903047
cpg.662	chr1	23959295	23960211
cpg.663	chr1	23979873	23980527
cpg.664	chr1	24187050	24187987
cpg.665	chr1	24321712	24322684
cpg.666	chr1	24413367	24413772
cpg.667	chr1	24416181	24416549
cpg.668	chr1	24502375	24503388
cpg.669	chr1	24535212	24535430
cpg.670	chr1	24555948	24556297
cpg.671	chr1	24642536	24643705
cpg.672	chr1	24744861	24746095
cpg.673	chr1	24848069	24848876
cpg.674	chr1	24902005	24902641
cpg.675	chr1	24907937	24908316
cpg.676	chr1	24929036	24932514
cpg.677	chr1	25232072	25232687
cpg.678	chr1	25239968	25240220
cpg.679	chr1	25246475	25248030
cpg.680	chr1	25266786	25267187
cpg.681	chr1	25267466	25267996
cpg.682	chr1	25337115	25337516
cpg.683	chr1	25337795	25338907
cpg.684	chr1	25430074	25431624
cpg.685	chr1	25543402	25544551
cpg.686	chr1	25616170	25616675
cpg.687	chr1	25617483	25618281
cpg.688	chr1	25771413	25771616
cpg.689	chr1	25800324	25800616
cpg.690	chr1	25819631	25820884
cpg.691	chr1	25858981	25859865
cpg.692	chr1	25875231	25876025
cpg.693	chr1	25905459	25907133
cpg.694	chr1	25922714	25923122
cpg.695	chr1	25998058	25998443
cpg.696	chr1	26035102	26036217
cpg.697	chr1	26045790	26046822
cpg.698	chr1	26110828	26112426
cpg.699	chr1	26161316	26162115
cpg.700	chr1	26164031	26164557
cpg.701	chr1	26169688	26170333
cpg.702	chr1	26225026	26225703
cpg.703	chr1	26233958	26234537
cpg.704	chr1	26279871	26280422
cpg.705	chr1	26306345	26306798
cpg.706	chr1	26336047	26336975
cpg.707	chr1	26345954	26346159
cpg.708	chr1	26360025	26360790
cpg.709	chr1	26411091	26411657
cpg.710	chr1	26432001	26432365
cpg.711	chr1	26471875	26473351
cpg.712	chr1	26500185	26501489
cpg.713	chr1	26529580	26530193
cpg.714	chr1	26620353	26621585
cpg.715	chr1	26695342	26697530
cpg.716	chr1	26787627	26788201
cpg.717	chr1	26817249	26817462
cpg.718	chr1	26826739	26827183
cpg.719	chr1	26863421	26863637
cpg.720	chr1	26864575	26865486
cpg.721	chr1	26889670	26890554
cpg.722	chr1	26900001	26900518
cpg.723	chr1	26921557	26922128
cpg.724	chr1	26959574	26960610
cpg.725	chr1	26993636	26994655
cpg.726	chr1	27006102	27006491
cpg.727	chr1	27012388	27012950
cpg.728	chr1	27154854	27155251
cpg.729	chr1	27201393	27201594
cpg.730	chr1	27234214	27235123
cpg.731	chr1	27321962	27322515
cpg.732	chr1	27349428	27351525
cpg.733	chr1	27356786	27357099
cpg.734	chr1	27360533	27361252
cpg.735	chr1	27365921	27366752
cpg.736	chr1	27383110	27383341
cpg.737	chr1	27392388	27392845
cpg.738	chr1	27489831	27490342
cpg.739	chr1	27527800	27528452
cpg.740	chr1	27547906	27548127
cpg.741	chr1	27549881	27551036
cpg.742	chr1	27568416	27569013
cpg.743	chr1	27575289	27576177
cpg.744	chr1	27603071	27603749
cpg.745	chr1	27615354	27615813
cpg.746	chr1	27634056	27634512
cpg.747	chr1	27635048	27635299
cpg.748	chr1	27659794	27660297
cpg.749	chr1	27668216	27668520
cpg.750	chr1	27725634	27726491
cpg.751	chr1	27773117	27773520
cpg.752	chr1	27830710	27831277
cpg.753	chr1	27872520	27872746
cpg.754	chr1	27914073	27915024
cpg.755	chr1	27958509	27958793
cpg.756	chr1	27959508	27960327
cpg.757	chr1	28088587	28088801
cpg.758	chr1	28232634	28233086
cpg.759	chr1	28235999	28236465
cpg.760	chr1	28247190	28247511
cpg.761	chr1	28259320	28260622
cpg.762	chr1	28328854	28329156
cpg.763	chr1	28369530	28370220
cpg.764	chr1	28518141	28518781
cpg.765	chr1	28530525	28530799
cpg.766	chr1	28552890	28553192
cpg.767	chr1	28581557	28582287
cpg.768	chr1	28592479	28592942
cpg.769	chr1	28643041	28643386
cpg.770	chr1	28668659	28669321
cpg.771	chr1	28736554	28737803
cpg.772	chr1	28775278	28775557
cpg.773	chr1	28811989	28812836
cpg.774	chr1	28862795	28863440
cpg.775	chr1	28886926	28887788
cpg.776	chr1	28914256	28915457
cpg.777	chr1	29121187	29125335
cpg.778	chr1	29134365	29134660
cpg.779	chr1	29181464	29182174
