gene	chr	start	stop
MMP23B-CDK11B	chr1	1632163	1659012
None	chr1	1659013	1659528
SLC35E2B	chr1	1659529	1692795
None	chr1	1692796	1702378
CDK11A	chr1	1702379	1724357
None	chr1	1724358	1751231
NADK	chr1	1751232	1780457
None	chr1	1780458	1785284
GNB1	chr1	1785285	1891117
None	chr1	1891118	1915107
CALML6	chr1	1915108	1917296
None	chr1	1917297	1917589
TMEM52	chr1	1917590	1919279
None	chr1	1919280	1921950
CFAP74	chr1	1921951	2003837
None	chr1	2003838	2019328
GABRD	chr1	2019329	2030758
None	chr1	2030759	2050410
PRKCZ-FAAP20	chr1	2050411	2212720
None	chr1	2212721	2228318
SKI	chr1	2228319	2310213
None	chr1	2310214	2321252
MORN1	chr1	2321253	2391707
None	chr1	2391708	2391774
RER1-PEX10	chr1	2391775	2413797
None	chr1	2413798	2425979
PLCH2	chr1	2425980	2505532
None	chr1	2505533	2508536
PANK4	chr1	2508537	2526597
None	chr1	2526598	2528744
HES5	chr1	2528745	2530263
None	chr1	2530264	2555638
TNFRSF14	chr1	2555639	2565382
None	chr1	2565383	2586490
PRXL2B-MMEL1	chr1	2586491	2633016
None	chr1	2633017	2635975
TTC34	chr1	2635976	2801717
None	chr1	2801718	3021466
ACTRT2	chr1	3021467	3022903
None	chr1	3022904	3069167
PRDM16	chr1	3069168	3438621
None	chr1	3438622	3454664
ARHGEF16	chr1	3454665	3481113
None	chr1	3481114	3487950
MEGF6	chr1	3487951	3611508
None	chr1	3611509	3625014
TPRG1L	chr1	3625015	3630127
None	chr1	3630128	3630766
WRAP73-TP73	chr1	3630767	3736201
None	chr1	3736202	3746459
CCDC27	chr1	3746460	3771645
None	chr1	3771646	3772748
SMIM1	chr1	3772749	3775982
None	chr1	3775983	3778558
LRRC47	chr1	3778559	3796498
None	chr1	3796499	3812085
CEP104-DFFB	chr1	3812086	3885429
None	chr1	3885430	3889124
C1orf174	chr1	3889125	3900293
None	chr1	3900294	4654608
AJAP1	chr1	4654609	4792534
None	chr1	4792535	5862810
NPHP4-KCNAB2	chr1	5862811	6101193
None	chr1	6101194	6101786
CHD5	chr1	6101787	6180321
None	chr1	6180322	6185019
RPL22-RNF207-ICMT	chr1	6185020	6235972
None	chr1	6235973	6244178
HES3	chr1	6244179	6245578
None	chr1	6245579	6247352
GPR153	chr1	6247353	6261098
None	chr1	6261099	6264268
ACOT7	chr1	6264269	6393767
None	chr1	6393768	6412417
HES2	chr1	6412418	6424670
None	chr1	6424671	6424775
ESPN-TNFRSF25	chr1	6424776	6466175
None	chr1	6466176	6467121
PLEKHG5	chr1	6467122	6520074
None	chr1	6520075	6521346
NOL9	chr1	6521347	6554513
None	chr1	6554514	6555306
TAS1R1	chr1	6555307	6579755
None	chr1	6579756	6579993
ZBTB48	chr1	6579994	6589280
None	chr1	6589281	6590723
KLHL21-PHF13	chr1	6590724	6624030
None	chr1	6624031	6624867
THAP3-DNAJC11	chr1	6624868	6701924
None	chr1	6701925	6785453
CAMTA1	chr1	6785454	7769706
None	chr1	7769707	7771295
VAMP3	chr1	7771296	7781432
None	chr1	7781433	7784290
PER3-UTS2	chr1	7784291	7853512
None	chr1	7853513	7915870
TNFRSF9	chr1	7915871	7943165
None	chr1	7943166	7954290
PARK7	chr1	7954291	7985505
None	chr1	7985506	8004403
ERRFI1	chr1	8004404	8026309
None	chr1	8026310	8318113
SLC45A1	chr1	8318114	8344167
None	chr1	8344168	8352396
RERE	chr1	8352397	8848921
None	chr1	8848922	8860999
ENO1	chr1	8861000	8879190
None	chr1	8879191	8945866
CA6	chr1	8945867	8975092
None	chr1	8975093	9002972
SLC2A7	chr1	9002973	9026423
None	chr1	9026424	9035105
SLC2A5	chr1	9035106	9088478
None	chr1	9088479	9100304
GPR157	chr1	9100305	9129102
None	chr1	9129103	9234773
H6PD	chr1	9234774	9271337
None	chr1	9271338	9292893
SPSB1	chr1	9292894	9369532
None	chr1	9369533	9539464
SLC25A33	chr1	9539465	9585173
None	chr1	9585174	9588910
TMEM201	chr1	9588911	9614877
None	chr1	9614878	9651730
PIK3CD-CLSTN1	chr1	9651731	9823984
None	chr1	9823985	9848275
CTNNBIP1	chr1	9848276	9910336
None	chr1	9910337	9922112
LZIC	chr1	9922113	9943407
None	chr1	9943408	9943427
NMNAT1	chr1	9943428	9985501
None	chr1	9985502	9997205
RBP7	chr1	9997206	10016021
None	chr1	10016022	10032831
UBE4B	chr1	10032832	10181239
None	chr1	10181240	10210569
KIF1B	chr1	10210570	10381603
None	chr1	10381604	10398591
PGD	chr1	10398592	10420511
None	chr1	10420512	10430101
CENPS-CORT-CENPS-CORT	chr1	10430102	10452153
None	chr1	10452154	10456521
DFFA-PEX14	chr1	10456522	10630758
None	chr1	10630759	10636603
CASZ1	chr1	10636604	10796650
None	chr1	10796651	10946470
C1orf127	chr1	10946471	10982037
None	chr1	10982038	11012343
TARDBP-MASP2	chr1	11012344	11047239
None	chr1	11047240	11054583
SRM	chr1	11054584	11060020
None	chr1	11060021	11066617
EXOSC10	chr1	11066618	11099869
None	chr1	11099870	11106534
MTOR-ANGPTL7	chr1	11106535	11262551
None	chr1	11262552	11273197
UBIAD1	chr1	11273198	11296049
None	chr1	11296050	11479154
DISP3	chr1	11479155	11537551
None	chr1	11537552	11637017
FBXO2-FBXO44	chr1	11637018	11663327
None	chr1	11663328	11664199
FBXO6	chr1	11664200	11674354
None	chr1	11674355	11674479
MAD2L2	chr1	11674480	11691650
None	chr1	11691651	11691709
DRAXIN	chr1	11691710	11725857
None	chr1	11725858	11736083
AGTRAP	chr1	11736084	11754802
None	chr1	11754803	11761786
C1orf167-MTHFR-CLCN6-NPPA	chr1	11761787	11848345
None	chr1	11848346	11857463
NPPB	chr1	11857464	11858945
None	chr1	11858946	11919590
KIAA2013	chr1	11919591	11926428
None	chr1	11926429	11934204
PLOD1	chr1	11934205	11975538
None	chr1	11975539	11980180
MFN2	chr1	11980181	12015211
None	chr1	12015212	12019465
MIIP	chr1	12019466	12032045
None	chr1	12032046	12063302
TNFRSF8	chr1	12063303	12144207
None	chr1	12144208	12166990
TNFRSF1B	chr1	12166991	12209228
None	chr1	12209229	12230029
VPS13D	chr1	12230030	12512047
None	chr1	12512048	12567909
DHRS3	chr1	12567910	12618210
None	chr1	12618211	12644084
AADACL4	chr1	12644085	12667076
None	chr1	12667077	12716109
AADACL3	chr1	12716110	12728760
None	chr1	12728761	12746199
C1orf158	chr1	12746200	12763699
None	chr1	12763700	12773737
PRAMEF12	chr1	12773738	12777906
None	chr1	12777907	12791396
PRAMEF1	chr1	12791397	12796628
None	chr1	12796629	12824604
PRAMEF11	chr1	12824605	12831410
None	chr1	12831411	12847376
HNRNPCL1	chr1	12847377	12848720
None	chr1	12848721	12857085
PRAMEF2	chr1	12857086	12861909
None	chr1	12861910	12879211
PRAMEF4	chr1	12879212	12886201
None	chr1	12886202	12892895
PRAMEF10	chr1	12892896	12898270
None	chr1	12898271	12916609
PRAMEF7	chr1	12916610	12920482
None	chr1	12920483	12938471
PRAMEF6	chr1	12938472	12947580
None	chr1	12947581	13049475
PRAMEF27	chr1	13049476	13056575
None	chr1	13056576	13060768
HNRNPCL3	chr1	13060769	13062878
None	chr1	13062879	13068676
PRAMEF25	chr1	13068677	13077884
None	chr1	13077885	13115487
HNRNPCL2	chr1	13115488	13116854
None	chr1	13116855	13148906
PRAMEF26	chr1	13148907	13156009
None	chr1	13156010	13163913
HNRNPCL4	chr1	13163914	13165631
None	chr1	13165632	13171847
PRAMEF9	chr1	13171848	13179459
None	chr1	13179460	13196187
PRAMEF13	chr1	13196188	13201409
None	chr1	13201410	13222704
PRAMEF18	chr1	13222705	13226106
None	chr1	13226107	13254211
PRAMEF5	chr1	13254212	13263314
None	chr1	13263315	13281034
PRAMEF8	chr1	13281035	13285174
None	chr1	13285175	13303538
PRAMEF33	chr1	13303539	13308907
None	chr1	13308908	13315580
PRAMEF15	chr1	13315581	13322598
None	chr1	13322599	13341891
PRAMEF14	chr1	13341892	13347134
None	chr1	13347135	13369066
PRAMEF19	chr1	13369067	13371900
None	chr1	13371901	13389631
PRAMEF17	chr1	13389632	13392629
None	chr1	13392630	13416350
PRAMEF20	chr1	13416351	13421328
None	chr1	13421329	13474972
LRRC38	chr1	13474973	13514003
None	chr1	13514004	13583464
PDPN	chr1	13583465	13617957
None	chr1	13617958	13700187
PRDM2	chr1	13700188	13825079
None	chr1	13825080	13892791
KAZN	chr1	13892792	15118043
None	chr1	15118044	15152531
TMEM51	chr1	15152532	15220478
None	chr1	15220479	15236520
FHAD1	chr1	15236521	15400283
None	chr1	15400284	15409887
EFHD2	chr1	15409888	15430339
None	chr1	15430340	15438441
CTRC	chr1	15438442	15449242
None	chr1	15449243	15456727
CELA2A-CELA2B-CASP9	chr1	15456728	15526534
None	chr1	15526535	15526812
DNAJC16-AGMAT	chr1	15526813	15592379
None	chr1	15592380	15617457
DDI2-RSC1A1	chr1	15617458	15669044
None	chr1	15669045	15684319
PLEKHM2	chr1	15684320	15734769
None	chr1	15734770	15736257
SLC25A34	chr1	15736258	15741392
None	chr1	15741393	15742498
TMEM82	chr1	15742499	15747982
None	chr1	15747983	15756606
FBLIM1	chr1	15756607	15786594
None	chr1	15786595	15807168
UQCRHL	chr1	15807169	15809348
None	chr1	15809349	15836094
SPEN	chr1	15836095	15940456
None	chr1	15940457	15941868
ZBTB17	chr1	15941869	15976132
None	chr1	15976133	16004235
SRARP	chr1	16004236	16008807
None	chr1	16008808	16014027
HSPB7-CLCNKA	chr1	16014028	16034050
None	chr1	16034051	16040251
CLCNKB	chr1	16040252	16057311
None	chr1	16057312	16057768
FAM131C	chr1	16057769	16073651
None	chr1	16073652	16124336
EPHA2	chr1	16124337	16156069
None	chr1	16156070	16197853
ARHGEF19	chr1	16197854	16212652
None	chr1	16212653	16231691
CPLANE2	chr1	16231692	16237183
None	chr1	16237184	16246839
FBXO42	chr1	16246840	16352480
None	chr1	16352481	16352574
SZRD1-SPATA21	chr1	16352575	16437424
None	chr1	16437425	16440720
NECAP2	chr1	16440721	16460078
None	chr1	16460079	16562318
NBPF1	chr1	16562319	16613562
None	chr1	16613563	16740272
CROCC	chr1	16740273	16972964
None	chr1	16972965	16974501
MFAP2	chr1	16974502	16980632
None	chr1	16980633	16985957
ATP13A2	chr1	16985958	17011928
None	chr1	17011929	17018721
SDHB	chr1	17018722	17054032
None	chr1	17054033	17066760
PADI2	chr1	17066761	17119451
None	chr1	17119452	17205127
PADI1	chr1	17205128	17246007
None	chr1	17246008	17249097
PADI3	chr1	17249098	17284233
None	chr1	17284234	17308194
PADI4	chr1	17308195	17364004
None	chr1	17364005	17372195
PADI6	chr1	17372196	17401699
None	chr1	17401700	17406759
RCC2	chr1	17406760	17439677
None	chr1	17439678	17539697
ARHGEF10L	chr1	17539698	17697874
None	chr1	17697875	17755332
ACTL8	chr1	17755333	17827063
None	chr1	17827064	18107797
IGSF21	chr1	18107798	18378483
None	chr1	18378484	18480929
KLHDC7A	chr1	18480930	18485974
None	chr1	18485975	18630845
PAX7	chr1	18630846	18748866
None	chr1	18748867	18839598
TAS1R2	chr1	18839599	18859682
None	chr1	18859683	18871429
ALDH4A1	chr1	18871430	18902724
None	chr1	18902725	18904279
IFFO2	chr1	18904280	18956676
None	chr1	18956677	19074509
UBR4	chr1	19074510	19210266
None	chr1	19210267	19215659
EMC1	chr1	19215660	19251552
None	chr1	19251553	19251804
MRTO4	chr1	19251805	19260128
None	chr1	19260129	19282572
AKR7A3	chr1	19282573	19288770
None	chr1	19288771	19303964
AKR7A2	chr1	19303965	19312144
None	chr1	19312145	19312325
SLC66A1	chr1	19312326	19329300
None	chr1	19329301	19338774
CAPZB-MICOS10-NBL1-MICOS10-NBL1	chr1	19338775	19658456
None	chr1	19658457	19664874
HTR6	chr1	19664875	19680966
None	chr1	19680967	19682239
TMCO4	chr1	19682240	19799945
None	chr1	19799946	19814028
RNF186	chr1	19814029	19815283
None	chr1	19815284	19882394
OTUD3	chr1	19882395	19912945
None	chr1	19912946	19920008
PLA2G2E	chr1	19920009	19923617
None	chr1	19923618	19975430
PLA2G2A	chr1	19975431	19980416
None	chr1	19980417	20028178
PLA2G5	chr1	20028179	20091911
None	chr1	20091912	20111938
PLA2G2D	chr1	20111939	20119566
None	chr1	20119567	20139322
PLA2G2F	chr1	20139323	20150381
None	chr1	20150382	20161252
PLA2G2C-UBXN10	chr1	20161253	20196050
None	chr1	20196051	20290874
VWA5B1	chr1	20290875	20359518
None	chr1	20359519	20482390
CAMK2N1	chr1	20482391	20486210
None	chr1	20486211	20499447
MUL1	chr1	20499448	20508151
None	chr1	20508152	20552572
FAM43B	chr1	20552573	20555020
None	chr1	20555021	20589085
CDA	chr1	20589086	20618903
None	chr1	20618904	20633457
PINK1	chr1	20633458	20651511
None	chr1	20651512	20651766
DDOST	chr1	20651767	20661544
None	chr1	20661545	20664013
KIF17	chr1	20664014	20718017
None	chr1	20718018	20719730
SH2D5	chr1	20719731	20732837
None	chr1	20732838	20740265
HP1BP3	chr1	20740266	20787323
None	chr1	20787324	20806291
EIF4G3	chr1	20806292	21177285
None	chr1	21177286	21217246
ECE1	chr1	21217247	21345572
None	chr1	21345573	21440127
NBPF3	chr1	21440128	21485005
None	chr1	21485006	21509396
ALPL	chr1	21509397	21578410
None	chr1	21578411	21596220
RAP1GAP	chr1	21596221	21669357
None	chr1	21669358	21678297
USP48	chr1	21678298	21783606
None	chr1	21783607	21812264
LDLRAD2-HSPG2	chr1	21812265	21937310
None	chr1	21937311	21977021
CELA3B	chr1	21977022	21998642
None	chr1	21998643	22001656
CELA3A	chr1	22001657	22012542
None	chr1	22012543	22025510
CDC42	chr1	22025511	22101360
None	chr1	22101361	22117312
WNT4	chr1	22117313	22143969
None	chr1	22143970	22428837
ZBTB40	chr1	22428838	22531157
None	chr1	22531158	22563488
EPHA8	chr1	22563489	22603595
None	chr1	22603596	22636627
C1QA	chr1	22636628	22639678
None	chr1	22639679	22643632
C1QC	chr1	22643633	22648110
None	chr1	22648111	22652761
C1QB	chr1	22652762	22661637
None	chr1	22661638	22710838
EPHB2	chr1	22710839	22921500
None	chr1	22921501	22953042
LACTBL1	chr1	22953043	22965338
None	chr1	22965339	23010833
TEX46	chr1	23010834	23019100
None	chr1	23019101	23019442
KDM1A	chr1	23019443	23083689
None	chr1	23083690	23084029
LUZP1	chr1	23084030	23177808
None	chr1	23177809	23191894
HTR1D	chr1	23191895	23217502
None	chr1	23217503	23303770
HNRNPR	chr1	23303771	23344336
None	chr1	23344337	23359447
ZNF436	chr1	23359448	23369836
None	chr1	23369837	23380908
TCEA3	chr1	23380909	23424748
None	chr1	23424749	23428562
ASAP3	chr1	23428563	23484568
None	chr1	23484569	23506437
E2F2	chr1	23506438	23531233
None	chr1	23531234	23557925
ID3	chr1	23557926	23559501
None	chr1	23559502	23691741
RPL11	chr1	23691742	23696835
None	chr1	23696836	23743447
ELOA	chr1	23743448	23762059
None	chr1	23762060	23778417
PITHD1	chr1	23778418	23788232
None	chr1	23788233	23791144
LYPLA2	chr1	23791145	23795539
None	chr1	23795540	23795598
GALE	chr1	23795599	23800781
None	chr1	23800782	23801884
HMGCL	chr1	23801885	23838620
None	chr1	23838621	23845076
FUCA1	chr1	23845077	23868290
None	chr1	23868291	23870514
CNR2	chr1	23870515	23913362
None	chr1	23913363	23956838
PNRC2	chr1	23956839	23963462
None	chr1	23963463	23964346
SRSF10	chr1	23964347	23980927
None	chr1	23980928	24056034
MYOM3	chr1	24056035	24112135
None	chr1	24112136	24119770
IL22RA1	chr1	24119771	24143140
None	chr1	24143141	24154167
IFNLR1	chr1	24154168	24187959
None	chr1	24187960	24199557
GRHL3-STPG1-NIPAL3	chr1	24199558	24472976
None	chr1	24472977	24502350
RCAN3	chr1	24502351	24541040
None	chr1	24541041	24556086
NCMAP	chr1	24556087	24609328
None	chr1	24609329	24631715
SRRM1	chr1	24631716	24673281
None	chr1	24673282	24745381
CLIC4	chr1	24745382	24844321
None	chr1	24844322	24899510
RUNX3	chr1	24899511	24965121
None	chr1	24965122	25222275
SYF2	chr1	25222276	25232502
None	chr1	25232503	25242248
RSRP1-RHD	chr1	25242249	25338213
None	chr1	25338214	25338316
TMEM50A-RHCE	chr1	25338317	25430192
None	chr1	25430193	25430857
MACO1	chr1	25430858	25500209
None	chr1	25500210	25543605
LDLRAP1	chr1	25543606	25568886
None	chr1	25568887	25616790
MAN1C1	chr1	25616791	25786206
None	chr1	25786207	25800192
SELENON	chr1	25800193	25818221
None	chr1	25818222	25818639
MTFR1L-AUNIP	chr1	25818640	25859458
None	chr1	25859459	25861483
PAQR7	chr1	25861484	25875708
None	chr1	25875709	25884180
STMN1	chr1	25884181	25906991
None	chr1	25906992	25959766
PAFAH2	chr1	25959767	25998117
None	chr1	25998118	26019883
EXTL1	chr1	26019884	26036464
None	chr1	26036465	26037251
SLC30A2	chr1	26037252	26046118
None	chr1	26046119	26051300
TRIM63	chr1	26051301	26068436
None	chr1	26068437	26111164
PDIK1L	chr1	26111165	26125555
None	chr1	26125556	26159078
FAM110D	chr1	26159079	26163962
None	chr1	26163963	26164100
C1orf232	chr1	26164101	26168963
None	chr1	26168964	26169515
ZNF593OS-ZNF593	chr1	26169516	26171831
None	chr1	26171832	26177483
CNKSR1	chr1	26177484	26189884
None	chr1	26189885	26190560
CATSPER4	chr1	26190561	26202968
None	chr1	26202969	26234199
CEP85	chr1	26234200	26278808
None	chr1	26278809	26280085
SH3BGRL3-UBXN11-CD52	chr1	26280086	26320523
None	chr1	26320524	26321697
CRYBG2	chr1	26321698	26360080
None	chr1	26360081	26361633
ZNF683	chr1	26361634	26374522
None	chr1	26374523	26410816
LIN28A	chr1	26410817	26429728
None	chr1	26429729	26432281
DHDDS	chr1	26432282	26471306
None	chr1	26471307	26472439
HMGN2	chr1	26472440	26476642
None	chr1	26476643	26529760
RPS6KA1	chr1	26529761	26575030
None	chr1	26575031	26693235
ARID1A	chr1	26693236	26782104
None	chr1	26782105	26787053
PIGV	chr1	26787054	26800659
None	chr1	26800660	26826687
ZDHHC18	chr1	26826688	26857604
None	chr1	26857605	26863148
SFN	chr1	26863149	26864456
None	chr1	26864457	26876131
GPN2	chr1	26876132	26890283
None	chr1	26890284	26890487
GPATCH3-NUDC-NR0B2	chr1	26890488	26946871
None	chr1	26946872	26949561
KDF1	chr1	26949562	26960468
None	chr1	26960469	26993691
TRNP1	chr1	26993692	27000886
None	chr1	27000887	27005019
TENT5B	chr1	27005020	27012850
None	chr1	27012851	27098808
SLC9A1	chr1	27098809	27166981
None	chr1	27166982	27234631
WDTC1	chr1	27234632	27308636
None	chr1	27308637	27322144
TMEM222	chr1	27322145	27336400
None	chr1	27336401	27342019
SYTL1	chr1	27342020	27353937
None	chr1	27353938	27354066
MAP3K6	chr1	27354067	27366961
None	chr1	27366962	27369109
FCN3	chr1	27369110	27374824
None	chr1	27374825	27379175
CD164L2	chr1	27379176	27383333
None	chr1	27383334	27392621
GPR3	chr1	27392622	27395814
None	chr1	27395815	27404229
WASF2	chr1	27404230	27490167
None	chr1	27490168	27534034
AHDC1	chr1	27534035	27604431
None	chr1	27604432	27612063
FGR	chr1	27612064	27635185
None	chr1	27635186	27666063
IFI6	chr1	27666064	27672212
None	chr1	27672213	27725960
FAM76A	chr1	27725961	27763116
None	chr1	27763117	27773218
STX12	chr1	27773219	27824443
None	chr1	27824444	27830781
PPP1R8	chr1	27830782	27851676
None	chr1	27851677	27872542
THEMIS2	chr1	27872543	27886685
None	chr1	27886686	27891523
RPA2	chr1	27891524	27914746
None	chr1	27914747	27934999
SMPDL3B	chr1	27935000	27959157
None	chr1	27959158	27959587
XKR8	chr1	27959588	27968093
None	chr1	27968094	27970343
EYA3	chr1	27970344	28088637
None	chr1	28088638	28147165
PTAFR	chr1	28147166	28193936
None	chr1	28193937	28199455
DNAJC8	chr1	28199456	28233029
None	chr1	28233030	28236108
ATP5IF1	chr1	28236109	28246906
None	chr1	28246907	28259517
SESN2	chr1	28259518	28282491
None	chr1	28282492	28329001
MED18	chr1	28329002	28335965
None	chr1	28335966	28369581
PHACTR4	chr1	28369582	28500364
None	chr1	28500365	28505942
RCC1	chr1	28505943	28539300
None	chr1	28539301	28553084
TRNAU1AP	chr1	28553085	28578545
None	chr1	28578546	28587828
TAF12-RAB42	chr1	28587829	28648291
None	chr1	28648292	28668777
GMEB1	chr1	28668778	28719353
None	chr1	28719354	28736620
YTHDF2	chr1	28736621	28769775
None	chr1	28769776	28812169
OPRD1	chr1	28812170	28871267
None	chr1	28871268	28887090
EPB41-TMEM200B	chr1	28887091	29123903
None	chr1	29123904	29147742
SRSF4	chr1	29147743	29181900
None	chr1	29181901	29192656
MECR	chr1	29192657	29230942
None	chr1	29230943	29236515
PTPRU	chr1	29236516	29326813
None	chr1	29326814	30711276
MATN1	chr1	30711277	30723585
None	chr1	30723586	30732468
LAPTM5	chr1	30732469	30757774
None	chr1	30757775	30869465
SDC3	chr1	30869466	30908758
None	chr1	30908759	30931505
PUM1	chr1	30931506	31065991
None	chr1	31065992	31179744
NKAIN1	chr1	31179745	31239887
None	chr1	31239888	31259567
SNRNP40	chr1	31259568	31296788
None	chr1	31296789	31296981
ZCCHC17	chr1	31296982	31364953
None	chr1	31364954	31365252
FABP3	chr1	31365253	31376850
None	chr1	31376851	31409564
SERINC2	chr1	31409565	31434680
None	chr1	31434681	31576484
TINAGL1	chr1	31576485	31587686
None	chr1	31587687	31617685
HCRTR1-PEF1	chr1	31617686	31644896
None	chr1	31644897	31652262
COL16A1	chr1	31652263	31704319
None	chr1	31704320	31727116
ADGRB2	chr1	31727117	31764893
None	chr1	31764894	31790421
SPOCD1	chr1	31790422	31816022
None	chr1	31816023	31906420
PTP4A2	chr1	31906421	31944856
None	chr1	31944857	32013867
KHDRBS1	chr1	32013868	32060850
None	chr1	32060851	32072030
TMEM39B	chr1	32072031	32102866
None	chr1	32102867	32108055
KPNA6	chr1	32108056	32176563
None	chr1	32176564	32179674
TXLNA	chr1	32179675	32198285
None	chr1	32198286	32200594
CCDC28B	chr1	32200595	32205453
None	chr1	32205454	32205670
IQCC	chr1	32205671	32208682
None	chr1	32208683	32209088
DCDC2B-TMEM234-EIF3I	chr1	32209089	32245397
None	chr1	32245398	32247221
FAM167B	chr1	32247222	32248856
None	chr1	32248857	32251238
LCK	chr1	32251239	32286165
None	chr1	32286166	32292082
HDAC1	chr1	32292083	32333635
None	chr1	32333636	32333838
MARCKSL1	chr1	32333839	32336233
None	chr1	32336234	32351520
TSSK3-FAM229A	chr1	32351521	32364312
None	chr1	32364313	32364632
BSDC1	chr1	32364633	32394731
None	chr1	32394732	32465071
ZBTB8B	chr1	32465072	32496686
None	chr1	32496687	32539426
ZBTB8A-ZBTB8OS	chr1	32539427	32650903
None	chr1	32650904	32651141
RBBP4-SYNC	chr1	32651142	32703596
None	chr1	32703597	32741829
KIAA1522	chr1	32741830	32774970
None	chr1	32774971	32775236
YARS1-S100PBP	chr1	32775237	32858875
None	chr1	32858876	32862267
FNDC5	chr1	32862268	32872482
None	chr1	32872483	32885993
HPCA-TMEM54	chr1	32885994	32901438
None	chr1	32901439	32936444
RNF19B	chr1	32936445	32964809
None	chr1	32964810	33007939
AK2	chr1	33007940	33080996
None	chr1	33080997	33081103
AZIN2	chr1	33081104	33123492
None	chr1	33123493	33145398
TRIM62	chr1	33145399	33182059
None	chr1	33182060	33256491
ZNF362	chr1	33256492	33300719
None	chr1	33300720	33306765
A3GALT2	chr1	33306766	33321098
None	chr1	33321099	33323622
PHC2	chr1	33323623	33431095
None	chr1	33431096	33472644
ZSCAN20	chr1	33472645	33501643
None	chr1	33501644	33513997
CSMD2-HMGB4	chr1	33513998	34165842
None	chr1	34165843	34166882
C1orf94	chr1	34166883	34219131
None	chr1	34219132	34712736
SMIM12-GJB5-GJB4-GJB3-GJA4	chr1	34712737	34859755
None	chr1	34859756	34865435
DLGAP3	chr1	34865436	34929650
None	chr1	34929651	34981534
TMEM35B	chr1	34981535	34985353
None	chr1	34985354	34986164
ZMYM6	chr1	34986165	35031945
None	chr1	35031946	35032171
ZMYM1	chr1	35032172	35115859
None	chr1	35115860	35176377
SFPQ	chr1	35176378	35193145
None	chr1	35193146	35268708
ZMYM4	chr1	35268709	35422058
None	chr1	35422059	35433491
KIAA0319L-NCDN	chr1	35433492	35567274
None	chr1	35567275	35573313
TFAP2E	chr1	35573314	35595328
None	chr1	35595329	35599540
PSMB2	chr1	35599541	35641526
None	chr1	35641527	35713876
C1orf216	chr1	35713877	35718894
None	chr1	35718895	35720217
CLSPN	chr1	35720218	35769978
None	chr1	35769979	35808015
AGO4	chr1	35808016	35857890
None	chr1	35857891	35869807
AGO1	chr1	35869808	35930532
None	chr1	35930533	35930717
AGO3	chr1	35930718	36072500
None	chr1	36072501	36084093
TEKT2	chr1	36084094	36088275
None	chr1	36088276	36088891
ADPRS	chr1	36088892	36093932
None	chr1	36093933	36095238
COL8A2	chr1	36095239	36125222
None	chr1	36125223	36136569
TRAPPC3-MAP7D1	chr1	36136570	36180849
None	chr1	36180850	36224431
THRAP3	chr1	36224432	36305357
None	chr1	36305358	36306367
SH3D21-EVA1B	chr1	36306368	36329340
None	chr1	36329341	36339623
STK40	chr1	36339624	36385924
None	chr1	36385925	36391237
LSM10	chr1	36391238	36397908
None	chr1	36397909	36415826
